,Punto,Cluster,Latitud,Longitud
60859,2.2217E+16,4,6.17752307,-75.57633153
61819,2.2217E+16,4,6.17752307,-75.57633153
61851,2.2217E+16,1,6.17752307,-75.57633153
62331,2.2217E+16,1,6.17653092,-75.57547414
62357,2.2217E+16,1,6.17653092,-75.57547414
62378,2.2217E+16,4,6.17653092,-75.57547414
62756,2.2217E+16,1,6.17653092,-75.57547414
62777,2.2217E+16,4,6.17653092,-75.57547414
63617,2.2217E+16,4,6.17769726,-75.57673167
63629,2.2217E+16,4,6.17769726,-75.57673167
63689,2.2217E+16,1,6.17769726,-75.57673167
63764,2.2217E+16,4,6.17769726,-75.57673167
63772,2.2217E+16,1,6.17769726,-75.57673167
63796,2.2217E+16,4,6.17769726,-75.57673167
64180,2.2217E+16,4,6.17769726,-75.57673167
64216,2.2217E+16,1,6.17769726,-75.57673167
64288,2.2217E+16,4,6.17769726,-75.57673167
64300,2.2217E+16,1,6.17769726,-75.57673167
64432,2.2217E+16,4,6.17769726,-75.57673167
64456,2.2217E+16,1,6.17769726,-75.57673167
64492,2.2217E+16,1,6.17769726,-75.57673167
64504,2.2217E+16,4,6.17769726,-75.57673167
64540,2.2217E+16,1,6.17769726,-75.57673167
64566,2.2217E+16,4,6.17769726,-75.57673167
64579,2.2217E+16,4,6.17769726,-75.57673167
64627,2.2217E+16,1,6.17769726,-75.57673167
64771,2.2217E+16,1,6.17769726,-75.57673167
64805,2.2217E+16,4,6.17769726,-75.57673167
64992,2.2217E+16,4,6.17769726,-75.57673167
65135,2.2217E+16,1,6.17769726,-75.57673167
65226,2.2217E+16,1,6.17713094,-75.57612393
65235,2.2217E+16,4,6.17713094,-75.57612393
65259,2.2217E+16,1,6.17713094,-75.57612393
65271,2.2217E+16,4,6.17713094,-75.57612393
65295,2.2217E+16,4,6.17713094,-75.57612393
65303,2.22173E+16,4,6.17426417,-75.5718209
65305,2.22173E+16,4,6.17202992,-75.5708061
65310,2.22174E+16,1,6.17183582,-75.57204743
65334,2.22174E+16,4,6.17183582,-75.57204743
65466,2.22174E+16,4,6.17183582,-75.57204743
65484,2.22174E+16,1,6.17183582,-75.57204743
65970,2.22174E+16,4,6.17183582,-75.57204743
65986,2.22174E+16,4,6.17183582,-75.57204743
66096,2.22174E+16,1,6.17183582,-75.57204743
66514,2.22174E+16,1,6.17183582,-75.57204743
66536,2.22174E+16,4,6.17183582,-75.57204743
67438,2.22174E+16,4,6.17183582,-75.57204743
67460,2.22174E+16,1,6.17183582,-75.57204743
68010,2.22174E+16,1,6.17183582,-75.57204743
68022,2.22174E+16,4,6.17183582,-75.57204743
68058,2.22174E+16,4,6.17183582,-75.57204743
68081,2.22174E+16,1,6.17183582,-75.57204743
68288,2.22174E+16,4,6.17183582,-75.57204743
68302,2.22174E+16,1,6.17183582,-75.57204743
68372,2.22174E+16,4,6.17183582,-75.57204743
68393,2.22174E+16,1,6.17183582,-75.57204743
69023,2.22174E+16,1,6.17183582,-75.57204743
69043,2.22174E+16,4,6.17183582,-75.57204743
69923,2.22174E+16,4,6.17183582,-75.57204743
69935,2.22174E+16,1,6.17183582,-75.57204743
70007,2.22174E+16,4,6.17183582,-75.57204743
70027,2.22174E+16,3,6.17183582,-75.57204743
70047,2.22174E+16,1,6.17183582,-75.57204743
70787,2.22174E+16,4,6.17183582,-75.57204743
70832,2.22174E+16,1,6.17183582,-75.57204743
70847,2.22174E+16,4,6.17183582,-75.57204743
70922,2.22174E+16,4,6.17183582,-75.57204743
70994,2.22174E+16,4,6.17183582,-75.57204743
71609,2.22174E+16,4,6.17183582,-75.57204743
72284,2.22174E+16,4,6.17183582,-75.57204743
72311,2.22174E+16,1,6.17183582,-75.57204743
72320,2.22174E+16,4,6.17183582,-75.57204743
72480,2.22174E+16,1,6.17183582,-75.57204743
72784,2.22174E+16,1,6.17183582,-75.57204743
72814,2.22174E+16,4,6.17183582,-75.57204743
73009,2.22174E+16,4,6.17183582,-75.57204743
73015,2.22174E+16,1,6.17183582,-75.57204743
73030,2.22174E+16,4,6.17183582,-75.57204743
73150,2.22174E+16,4,6.17183582,-75.57204743
73168,2.22174E+16,4,6.17183582,-75.57204743
73186,2.22174E+16,4,6.17183582,-75.57204743
73246,2.22174E+16,4,6.17183582,-75.57204743
73263,2.22174E+16,1,6.17183582,-75.57204743
